Pfam ID,Pfam Name,"Number of
Expression Trials","Positive
Outcomes","Negative
Outcomes",AUC,"Lower bound
95% CI","Upper bound
95% CI"
PF00083.21,Sugar_tr,285,46,239,52.3%,43.4%,61.3%
PF00230.17,MIP,83,35,48,65.1%,52.7%,77.4%
PF00359.19,PTS_EIIA_2,14,3,11,100.0%,100.0%,100.0%
PF00361.17,Proton_antipo_M,648,19,629,61.5%,51.3%,71.8%
PF00474.14,SSF,124,9,115,60.5%,45.1%,75.8%
PF00507.16,Oxidored_q4,159,4,155,51.5%,17.5%,85.4%
PF00520.28,Ion_trans,17,4,13,65.4%,35.4%,95.3%
PF00535.23,Glycos_transf_2,282,62,220,75.8%,69.7%,81.9%
PF00662.17,Proton_antipo_N,120,2,118,94.1%,87.4%,100.0%
PF00672.22,HAMP,130,40,90,56.9%,46.3%,67.4%
PF00854.18,PTR2,103,17,86,62.4%,48.5%,76.2%
PF00860.17,Xan_ur_permease,559,115,444,61.2%,55.3%,67.1%
PF00892.17,EamA,813,125,688,56.7%,51.2%,62.2%
PF00893.16,Multi_Drug_Res,160,7,153,51.6%,34.9%,68.3%
PF00916.17,Sulfate_transp,194,41,153,60.2%,50.2%,70.2%
PF00939.16,Na_sulph_symp,109,19,90,55.4%,43.0%,67.8%
PF00950.14,ABC-3,33,7,26,72.5%,51.0%,94.1%
PF00953.18,Glycos_transf_4,86,3,83,39.4%,17.8%,60.9%
PF00999.18,Na_H_Exchanger,398,21,377,76.1%,65.9%,86.2%
PF01027.17,Bax1-I,68,16,52,41.9%,25.6%,58.3%
PF01040.15,UbiA,212,29,183,63.2%,53.1%,73.4%
PF01059.14,Oxidored_q5_N,27,2,25,20.0%,0.0%,49.5%
PF01061.21,ABC2_membrane,328,48,280,58.0%,50.9%,65.2%
PF01062.18,Bestrophin,10,2,8,43.8%,0.0%,89.6%
PF01066.18,CDP-OH_P_transf,436,124,312,57.1%,51.0%,63.2%
PF01148.17,CTP_transf_1,161,38,123,55.6%,44.9%,66.3%
PF01169.16,UPF0016,92,3,89,53.7%,16.3%,91.2%
PF01226.14,Form_Nir_trans,13,8,5,70.0%,38.1%,100.0%
PF01252.15,Peptidase_A8,63,22,41,38.7%,22.6%,54.8%
PF01292.17,Ni_hydr_CYTB,131,58,73,57.3%,47.5%,67.1%
PF01384.17,PHO4,178,11,167,59.1%,39.0%,79.2%
PF01434.15,Peptidase_M41,51,7,44,52.1%,34.4%,69.8%
PF01545.18,Cation_efflux,21,5,16,67.5%,31.8%,100.0%
PF01553.18,Acyltransferase,20,4,16,50.0%,12.0%,88.0%
PF01554.15,MatE,659,101,558,58.6%,53.1%,64.2%
PF01566.15,Nramp,129,21,108,68.6%,55.3%,81.9%
PF01569.18,PAP2,8,1,7,64.3%,64.3%,64.3%
PF01578.17,Cytochrom_C_asm,53,5,48,65.4%,38.6%,92.2%
PF01594.13,UPF0118,436,137,299,66.5%,61.0%,72.0%
PF01595.17,DUF21,238,50,188,47.8%,38.7%,56.9%
PF01610.14,DDE_Tnp_ISL3,14,2,12,91.7%,72.9%,100.0%
PF01618.13,MotA_ExbB,32,14,18,58.3%,36.1%,80.6%
PF01627.20,Hpt,14,3,11,62.1%,30.1%,94.1%
PF01699.21,Na_Ca_ex,75,4,71,73.9%,57.9%,90.0%
PF01757.19,Acyl_transf_3,23,6,17,76.5%,52.9%,100.0%
PF01758.13,SBF,126,22,104,61.3%,48.3%,74.3%
PF01773.17,Nucleos_tra2_N,110,18,92,44.4%,27.7%,61.2%
PF01790.15,LGT,75,12,63,39.3%,20.7%,57.9%
PF01810.15,LysE,41,2,39,83.3%,59.0%,100.0%
PF01914.14,MarC,77,6,71,59.2%,37.3%,81.0%
PF01940.13,DUF92,66,3,63,51.9%,26.4%,77.3%
